NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
831,E1738600020111,宝達志水スポーツセンター,石川県宝達志水町吉野屋ヲ155,1,,,36.859622,136.804585,
832,E1738600006111,相見保育所プレイルーム,石川県宝達志水町今浜えびすが丘31,1,,,36.825486207529,136.75315886725,
833,E1738600005111,宝達志水武道館,石川県宝達志水町今浜イ4-1,1,,,36.827673858223,136.75006014572,
834,E1738600005112,宝達志水総合体育館,石川県宝達志水町今浜イ4-1,1,,,36.826484437231,136.75036055313,
835,E1738600007111,宝達高等学校第２体育館,石川県宝達志水町今浜ト80,1,,,36.8247364,136.7610076,
836,E1738600007112,宝達高等学校第１体育館,石川県宝達志水町今浜ト80,1,,,36.82428608,136.7610165,
837,E1738600008111,生涯学習センター,石川県宝達志水町子浦そ18-1,1,,,36.862426130017,136.79704685706,
838,E1738600009111,志桜小学校体育館,石川県宝達志水町子浦ツ18,1,,,36.862203812287,136.79290121595,
839,E1738600010111,宝達中学校体育館,石川県宝達志水町小川カ150,1,,,36.819145710872,136.75586272575,
840,E1738600011111,旧宝達小学校体育館,石川県宝達志水町上田キ50,1,,,36.812512101199,136.77385972744,
841,E1738600021111,北部軽スポーツセンター,石川県宝達志水町菅原ヤ23,1,,,36.877391,136.806092,
842,E1738600012111,旧押水第一小学校体育館,石川県宝達志水町冬野ヲ2,1,,,36.797779303847,136.74960066874,
843,E1738600013111,押水小学校体育館,石川県宝達志水町麦生ト133,1,,,36.830031796129,136.75446018842,
844,E1738600014111,白虎山公園軽スポーツセンター,石川県宝達志水町敷波ロ44,1,,,36.855403367563,136.77311921308,
845,E1738600016111,宝達志水広域勤労青少年ホーム,石川県宝達志水町北川尻ミ1-15,1,,,36.806990605607,136.74992318385,
846,E1738600017111,宝達志水町民センター,石川県宝達志水町門前サ11,1,,,36.816316617256,136.76406261169,
847,E1721200001111,御園小学校体育館,石川県野々市市稲荷4-128,1,,,36.5375957789845,136.603939564749,
848,E1721200025111,女性センター,石川県野々市市稲荷4-155,,,,36.53669,136.605331,
849,E1721200002111,布水中学校体育館,石川県野々市市押野2-100,1,,,36.5386493222779,136.61200551405,
850,E1721200017111,スポーツセンター,石川県野々市市押野2-30,,,,36.540592,136.612351,
851,E1721200023111,第４コミュニティ消防防災センター,石川県野々市市押野2-313-2,,,,36.540853,136.611063,
852,E1721200012112,押野公民館,石川県野々市市押野3-70,,,,36.540788,136.616503,
853,E1721200003111,館野小学校体育館,石川県野々市市押野3-71,1,,,36.5404435070581,136.616532750596,
854,E1721200004111,野々市明倫高校第１・第２体育館,石川県野々市市下林3-309,1,,,36.5262065856439,136.600865796341,
855,E1721200011112,市民体育館,石川県野々市市下林3-97,,,,36.525644,136.599627,
856,E1721200005111,野々市中学校体育館,石川県野々市市三納3-1,1,,,36.5243884045525,136.60792701168,
857,E1721200006111,菅原小学校体育館,石川県野々市市菅原町20-1,1,,,36.5253048309286,136.616662460748,
858,E1721200007111,金沢工業大学第二体育館（２０号館）,石川県野々市市扇が丘7-1,1,,,36.5276391086942,136.628227987735,
859,E1721200015111,富奥防災コミュニティセンター,石川県野々市市中林5-3-22,,,,36.511917,136.605301,
